rel_path,name,ext,size_bytes,category,tax_category,confidence,reason,import_relevance
05_APPROVALS/شهادة اعتماد-21.pdf,شهادة اعتماد-21.pdf,.pdf,20897410,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-4 (2).pdf,شهادة اعتماد-4 (2).pdf,.pdf,4391566,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-5 (2).pdf,شهادة اعتماد-5 (2).pdf,.pdf,5814796,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-6.pdf,شهادة اعتماد-6.pdf,.pdf,915087,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-7.pdf,شهادة اعتماد-7.pdf,.pdf,1102924,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-8.pdf,شهادة اعتماد-8.pdf,.pdf,665141,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
05_APPROVALS/شهادة اعتماد-9.pdf,شهادة اعتماد-9.pdf,.pdf,8784398,approval,approval,high,Path under 05_APPROVALS/ → اعتماد certificates.,MEDIUM — PDF attachment to claim records (اعتماد certificates).
02_BOQ/2023-MOMRA-0150-S     طلب اعتماد جداول الزيادات والوفورات والعقد المعدل (الامر التغييري رقم5)  .pdf,2023-MOMRA-0150-S     طلب اعتماد جداول الزيادات والوفورات والعقد المعدل (الامر التغييري رقم5)  .pdf,.pdf,31108454,boq,boq,high,Path under 02_BOQ/ → bill of quantities artefacts.,HIGH — primary import to contract_boq_templates.
02_BOQ/BOQ.pdf,BOQ.pdf,.pdf,15021960,boq,boq,high,Path under 02_BOQ/ → bill of quantities artefacts.,HIGH — primary import to contract_boq_templates.
02_BOQ/BOQ.xlsx,BOQ.xlsx,.xlsx,99316,boq,boq,high,Path under 02_BOQ/ → bill of quantities artefacts.,HIGH — primary import to contract_boq_templates.
02_BOQ/README.md,README.md,.md,742,boq,boq,high,Path under 02_BOQ/ → bill of quantities artefacts.,HIGH — primary import to contract_boq_templates.
02_BOQ/جداول الكميات.pdf,جداول الكميات.pdf,.pdf,7821081,boq,boq,high,Path under 02_BOQ/ → bill of quantities artefacts.,HIGH — primary import to contract_boq_templates.
02_BOQ/طلب اعتماد جداول الزيادات والوفورات والبنود المستحدثة.pdf,طلب اعتماد جداول الزيادات والوفورات والبنود المستحدثة.pdf,.pdf,139388289,boq,boq,high,Path under 02_BOQ/ → bill of quantities artefacts.,HIGH — primary import to contract_boq_templates.
03_VO/01_05_03_24_VO_REHQ (1)(امر تغيير رقم-1 ).pdf,01_05_03_24_VO_REHQ (1)(امر تغيير رقم-1 ).pdf,.pdf,1607624,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/02_29_07_24_VO_REHQ(امر تغيير رقم-2).pdf,02_29_07_24_VO_REHQ(امر تغيير رقم-2).pdf,.pdf,6041000,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/03_02_09_24_VO_REHQ)لمر تغيير رقم-3).pdf,03_02_09_24_VO_REHQ)لمر تغيير رقم-3).pdf,.pdf,8433473,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/04_04_12_24_VO_REHQ)امر تغيير رقم-4).pdf,04_04_12_24_VO_REHQ)امر تغيير رقم-4).pdf,.pdf,31887258,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/05_01_06_25_VO_REHQ(امر تغيير رقم-5).pdf,05_01_06_25_VO_REHQ(امر تغيير رقم-5).pdf,.pdf,964171,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/2023-MOMRA-0018 - S   جداول الكميات المحدثة (المناقلة رقم 1 ).pdf,2023-MOMRA-0018 - S   جداول الكميات المحدثة (المناقلة رقم 1 ).pdf,.pdf,51088867,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/2023-MOMRA-0072-S  الأوامر التغيرية.pdf,2023-MOMRA-0072-S  الأوامر التغيرية.pdf,.pdf,140712439,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/2023-MOMRA-0073-S  طلب اعتماد البنود المستحدثة.pdf,2023-MOMRA-0073-S  طلب اعتماد البنود المستحدثة.pdf,.pdf,143038479,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/2023-MOMRA-0121- S  طلب اعتماد البنود المستحدثة.pdf,2023-MOMRA-0121- S  طلب اعتماد البنود المستحدثة.pdf,.pdf,21697441,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/OVs/01_05_03_24_VO_REHQ.pdf,01_05_03_24_VO_REHQ.pdf,.pdf,1607624,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/OVs/02_29_07_24_VO_REHQ.pdf,02_29_07_24_VO_REHQ.pdf,.pdf,6041000,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/OVs/03_02_09_24_VO_REHQ.pdf,03_02_09_24_VO_REHQ.pdf,.pdf,8433473,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/OVs/04_04_12_24_VO_REHQ.pdf,04_04_12_24_VO_REHQ.pdf,.pdf,31887258,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/OVs/05_01_06_25_VO_REHQ.pdf,05_01_06_25_VO_REHQ.pdf,.pdf,964171,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
03_VO/README.md,README.md,.md,890,change_order,change_order,high,Path under 03_VO/ → variation orders.,HIGH — primary import to change_orders + change_order_*_items.
06_CERTIFICATES/README.md,README.md,.md,869,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-1.pdf,شهادة انجاز-1.pdf,.pdf,6314816,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-10.pdf,شهادة انجاز-10.pdf,.pdf,1574576,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-11.pdf,شهادة انجاز-11.pdf,.pdf,13472929,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-12.pdf,شهادة انجاز-12.pdf,.pdf,1319351,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-13.pdf,شهادة انجاز-13.pdf,.pdf,9111002,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-14.pdf,شهادة انجاز-14.pdf,.pdf,20858024,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-15.pdf,شهادة انجاز-15.pdf,.pdf,11573124,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-16.pdf,شهادة انجاز-16.pdf,.pdf,15374731,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-17.pdf,شهادة انجاز-17.pdf,.pdf,6000538,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-18.pdf,شهادة انجاز-18.pdf,.pdf,8544152,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-19.pdf,شهادة انجاز-19.pdf,.pdf,26497876,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-2.pdf,شهادة انجاز-2.pdf,.pdf,6545112,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-20.pdf,شهادة انجاز-20.pdf,.pdf,30296115,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-21.pdf,شهادة انجاز-21.pdf,.pdf,20897440,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-3.pdf,شهادة انجاز-3.pdf,.pdf,6831256,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-4.pdf,شهادة انجاز-4.pdf,.pdf,4385492,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-5.pdf,شهادة انجاز-5.pdf,.pdf,5811126,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-6.pdf,شهادة انجاز-6.pdf,.pdf,914869,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-7.pdf,شهادة انجاز-7.pdf,.pdf,1102375,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-8.pdf,شهادة انجاز-8.pdf,.pdf,664015,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
06_CERTIFICATES/شهادة انجاز-9.pdf,شهادة انجاز-9.pdf,.pdf,8762663,completion_certificate,completion_certificate,high,Path under 06_CERTIFICATES/ → completion certificates.,MEDIUM — PDF attachment to claim records (شهادة إنجاز).
01_CONTRACT/README.md,README.md,.md,645,contract_master,contract_master,high,Path under 01_CONTRACT/ → contract documents.,HIGH — primary import to contracts table.
01_CONTRACT/العقد.pdf,العقد.pdf,.pdf,1595251,contract_master,contract_master,high,Path under 01_CONTRACT/ → contract documents.,HIGH — primary import to contracts table.
01_CONTRACT/اللائحة التنفيذية لنظام المنافسات والمشتريات الحكومية المعدلة لعام 1441ه.pdf,اللائحة التنفيذية لنظام المنافسات والمشتريات الحكومية المعدلة لعام 1441ه.pdf,.pdf,10461396,contract_master,contract_master,high,Path under 01_CONTRACT/ → contract documents.,HIGH — primary import to contracts table.
01_CONTRACT/المواصفات الفنية.pdf,المواصفات الفنية.pdf,.pdf,11840260,contract_master,contract_master,high,Path under 01_CONTRACT/ → contract documents.,HIGH — primary import to contracts table.
01_CONTRACT/عقد المشروع.pdf,عقد المشروع.pdf,.pdf,25615359,contract_master,contract_master,high,Path under 01_CONTRACT/ → contract documents.,HIGH — primary import to contracts table.
01_CONTRACT/كراسة الشروط والمواصفات.pdf,كراسة الشروط والمواصفات.pdf,.pdf,1623066,contract_master,contract_master,high,Path under 01_CONTRACT/ → contract documents.,HIGH — primary import to contracts table.
07_CORRESPONDENCE/README.md,README.md,.md,886,correspondence,ministry_correspondence,high,Path under 07_CORRESPONDENCE/ → ministry correspondence.,LOW — informational; not imported.
_ETL/.env.example,.env.example,.example,481,etl_toolkit,attachment_supporting,low,Path under _ETL/ → migration code (not project data).,LOW — templates / supporting code; not imported.
_ETL/.gitignore,.gitignore,,77,etl_toolkit,attachment_supporting,low,Path under _ETL/ → migration code (not project data).,LOW — templates / supporting code; not imported.
_ETL/README.md,README.md,.md,4209,etl_toolkit,attachment_supporting,low,Path under _ETL/ → migration code (not project data).,LOW — templates / supporting code; not imported.
_ETL/config.py,config.py,.py,2285,etl_toolkit,attachment_supporting,low,Path under _ETL/ → migration code (not project data).,LOW — templates / supporting code; not imported.
_ETL/logs/.gitkeep,.gitkeep,,0,etl_toolkit,attachment_supporting,low,Path under _ETL/ → migration code (not project data).,LOW — templates / supporting code; not imported.
_ETL/logs/migrate_20260426_124531.json,migrate_20260426_124531.json,.json,247,etl_toolkit,attachment_supporting,low,Path under _ETL/ → migration code (not project data).,LOW — templates / supporting code; not imported.
_ETL/migrate.py,migrate.py,.py,16919,etl_toolkit,attachment_supporting,low,Path under _ETL/ → migration code (not project data).,LOW — templates / supporting code; not imported.
_ETL/reconcile.py,reconcile.py,.py,5486,etl_toolkit,attachment_supporting,low,Path under _ETL/ → migration code (not project data).,LOW — templates / supporting code; not imported.
_ETL/requirements.txt,requirements.txt,.txt,53,etl_toolkit,attachment_supporting,low,Path under _ETL/ → migration code (not project data).,LOW — templates / supporting code; not imported.
_ETL/validate.py,validate.py,.py,10566,etl_toolkit,attachment_supporting,low,Path under _ETL/ → migration code (not project data).,LOW — templates / supporting code; not imported.
_ETL/validate_attachments.py,validate_attachments.py,.py,8297,etl_toolkit,attachment_supporting,low,Path under _ETL/ → migration code (not project data).,LOW — templates / supporting code; not imported.
04_PAYMENTS/README.md,README.md,.md,1160,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 01.pdf,المستخلص 01.pdf,.pdf,6283697,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 02.pdf,المستخلص 02.pdf,.pdf,6518573,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 03.pdf,المستخلص 03.pdf,.pdf,6808603,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 04.pdf,المستخلص 04.pdf,.pdf,4355934,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 05.pdf,المستخلص 05.pdf,.pdf,5788523,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 06.pdf,المستخلص 06.pdf,.pdf,882675,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 07.pdf,المستخلص 07.pdf,.pdf,1073848,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 08.pdf,المستخلص 08.pdf,.pdf,636129,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 09.pdf,المستخلص 09.pdf,.pdf,8725691,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 10.pdf,المستخلص 10.pdf,.pdf,1537637,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 11.pdf,المستخلص 11.pdf,.pdf,13438836,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 12.pdf,المستخلص 12.pdf,.pdf,1282813,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 13.pdf,المستخلص 13.pdf,.pdf,9079005,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 14.pdf,المستخلص 14.pdf,.pdf,20789441,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 15.pdf,المستخلص 15.pdf,.pdf,11553636,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 16.pdf,المستخلص 16.pdf,.pdf,15325634,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 17.pdf,المستخلص 17.pdf,.pdf,5983813,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 18.pdf,المستخلص 18.pdf,.pdf,8477788,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 19.pdf,المستخلص 19.pdf,.pdf,26463133,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص 20.pdf,المستخلص 20.pdf,.pdf,30255875,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
04_PAYMENTS/المستخلص الختامي 21.pdf,المستخلص الختامي 21.pdf,.pdf,20854950,financial_claim,financial_claim,high,Path under 04_PAYMENTS/ → financial-claim PDFs (المستخلصات).,MEDIUM — PDF attachment to claim records (data comes from SMART workbook).
CMH_01_SMART.xlsx,CMH_01_SMART.xlsx,.xlsx,838014,project_metadata,boq,high,Top-level CMH_01_SMART.xlsx — canonical multi-sheet workbook (contract + BOQ + claims + VOs + ...). Categorised under boq for display priority but is the source-of-truth for ALL primary categories.,HIGH — primary import to contract_boq_templates.
README.md,README.md,.md,2931,project_metadata,attachment_supporting,medium,Top-level project README — informational only.,LOW — templates / supporting code; not imported.
09_REPORTS_OUT/README.md,README.md,.md,833,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/1-2025 مؤشرات الأداء.pdf,1-2025 مؤشرات الأداء.pdf,.pdf,722568,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/1-2025 مؤشرات الأداء.pptx,1-2025 مؤشرات الأداء.pptx,.pptx,933796,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/10-2025 مؤشرات الأداء.pdf,10-2025 مؤشرات الأداء.pdf,.pdf,721652,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/10-2025 مؤشرات الأداء.pptx,10-2025 مؤشرات الأداء.pptx,.pptx,933345,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/11-2025 مؤشرات الأداء.pdf,11-2025 مؤشرات الأداء.pdf,.pdf,717144,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/11-2025 مؤشرات الأداء.pptx,11-2025 مؤشرات الأداء.pptx,.pptx,933400,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/12-2025 مؤشرات الأداء.pdf,12-2025 مؤشرات الأداء.pdf,.pdf,715522,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/12-2025 مؤشرات الأداء.pptx,12-2025 مؤشرات الأداء.pptx,.pptx,933660,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/2-2025 مؤشرات الأداء.pdf,2-2025 مؤشرات الأداء.pdf,.pdf,722487,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/2-2025 مؤشرات الأداء.pptx,2-2025 مؤشرات الأداء.pptx,.pptx,933778,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/2024/10-2024 مؤشرات الأداء.pdf,10-2024 مؤشرات الأداء.pdf,.pdf,715629,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/2024/10-2024 مؤشرات الأداء.pptx,10-2024 مؤشرات الأداء.pptx,.pptx,933698,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/2024/11-2024 مؤشرات الأداء.pdf,11-2024 مؤشرات الأداء.pdf,.pdf,719332,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/2024/11-2024 مؤشرات الأداء.pptx,11-2024 مؤشرات الأداء.pptx,.pptx,932939,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
09_REPORTS_OUT/تقارير الاستشاري/Monthly/2024/12-2024 مؤشرات الأداء.pdf,12-2024 مؤشرات الأداء.pdf,.pdf,721297,report_out,report,high,Path under 09_REPORTS_OUT/ → auto-generated reports.,LOW — auto-generated derivative; not imported.
