contract_no,claim_seq,document_type,document_type_ar,expected_filename,folder_hint,mandatory,upload_status,uploaded_at,missing_warning,external_ref,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,19,اعتماد,اعتماد,CMH_01-CLM-019-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-019,سجل المرفقات,78,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,20,اعتماد,اعتماد,CMH_01-CLM-020-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-020,سجل المرفقات,82,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,21,اعتماد,اعتماد,CMH_01-CLM-021-APPROVAL.pdf,05_APPROVALS,اختياري,,,,CMH_01-CLM-021,سجل المرفقات,86,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,90,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,94,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,98,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,102,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,106,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,110,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,114,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,118,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,122,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,126,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,130,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,134,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,138,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد,اعتماد,#REF!,05_APPROVALS,اختياري,,,,#REF!,سجل المرفقات,142,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد الأمر,اعتماد الأمر,CMH_01-VO-001-APPROVAL.pdf,03_VO,إجباري,,,,CMH_01-VO-001,سجل المرفقات,205,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد الأمر,اعتماد الأمر,CMH_01-VO-001-APPROVAL.pdf,03_VO,إجباري,,,,CMH_01-VO-001,سجل المرفقات,207,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد الأمر,اعتماد الأمر,CMH_01-VO-003-APPROVAL.pdf,03_VO,إجباري,,,,CMH_01-VO-003,سجل المرفقات,211,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد الأمر,اعتماد الأمر,CMH_01-VO-004-APPROVAL.pdf,03_VO,إجباري,,,,CMH_01-VO-004,سجل المرفقات,213,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,اعتماد الأمر,اعتماد الأمر,CMH_01-VO-005-APPROVAL.pdf,03_VO,إجباري,,,,CMH_01-VO-005,سجل المرفقات,215,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
