contract_no,claim_seq,item_no,description_ar_snapshot,unit_snapshot,unit_price_snapshot,contractual_qty_snapshot,prev_progress,curr_progress,cumulative_qty,period_amount,progress_pct,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,1,256,توريد وتركيب وإختبار وفحص علبة خدمة من نوعية ممتازة تحتوى على  ) أ ( مقابس تغذية أرضية مزدوجة ذات أسلاك 4 مم2 كحد أدنى مركبة على الأرض وتشمل أسلاك التأريض من اللوحة حتى المقابس + )ب( مآخذ للهاتف والبيانات ذات كابلات CAT 6A UTP وحتى كابينة الداتا  وحسب مواصفات إدارة الـ IT  بالوزارة. على المقاول المعاينة و فحص الشبكة الحالية و الاستفادة من التمديدات الحالية و دمجها مع التركيبات الجديدة بعد عمل الاختبارات اللازمة و بعد الموافقة من مهندس المشرف . النوع )1FB(   )تحتوى على 1 قوى (,عدد,720.0,141.0,0.0,9.0,9.0,6480.0,6.382978723404255,بنود المطالبات,13,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,5,صبة أسمنتية كطبقة حماية للعزل في الأماكن الرطبة. ويشمل السعر وأي مواد أو أعمال يتطلبها تنفيذ العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.,م3,366.0,1345.0,37.48,39.91,77.38999999999999,14607.06,5.753903345724906,بنود المطالبات,14,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,6,توريد وبناء مباني من البلوك  مقاوم للحريق شاملا المونة والفواصل وأربطة التثبيت والتسليح الرأسي وعتبات جميع الفتحات وعزل الجدران المزدوجة المفرّغة والمكملات ويتم توريد البلوك بالموقع على قواعد خشبية مغطاه بالبلاستيك ويستمر على هذه الحالة حتى يبدأ استخدامه للبناء على أن يكون ذو ابعاد بطول 40سم وسماكة حسب المطلوب وارتفاع 20سم وان تكون صلد سليم نظيف وذو زوايا خارجية قائمة يستعمل لبناء الحوائط حسب ما هو موضح بالمخططات مع التكحيل ويكون  مطابق للمواصفات حسب النوعيه المطلوبة والسعر يشمل كل مايلزم للبناء من البلوك الكامل والقطع الخاصة سواء 5.0 أو 25.0 ، كذلك القطع الخاصة بتمديد المواسير بحيث لا يتم تكسير البلوك أثناء الاستخدام للبناء على الأطلاق ، بالإضافة إلى كافة المواد والاكسسوارات والسقايل واستعمال الشبك الممدد والتسليح بواسطة خوابير معدنية والمرابط المعدنية ويشمل السعر أي مواد أو أعمال يتطلبها استكمال العمل حسب المواصفات  القسم Ref drawing: 07-MRA-DD-(as per floor number) وتعليمات المهندس المشرف 04200Ar-100,م2,150.0,450.0,1288.91,298.65,1587.56,44797.5,352.7911111111111,بنود المطالبات,15,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,72,طبقة من اللياسة الأسمنتية فوق الأسطح الخرسانية والجدران الداخلية  بسمك متوسط 20 مم على طبقات  طرطشة بسمك 5 مم وضهارة 15 مم حسب المواصفات مع المعالجة اليومية  بالمياه لمنع التنميلات ويتم عمل افريز بين البلوك والخرسانة يملئ بمواد قابلة للدهان والسعر يشمل كامل الأكسسوارات اللازمة من شبك معدني ممدد وزوايا ونهايات معدنية  ومواد الترابط  وعمل تجاويف في طبقة اللياسة بعمق 10مم عرض 10مم  في الاعمدة  وفي الجدران ان وجدت حسب الرسومات والمناظير وتعليمات المهندس المشرف ذلك حسب الاصول الفنية وتعليمات المهندس المشرف. لياسة الجدران والأعمدة الداخلية  وتشمل جميع الإكسسوارات بإرتفاع 20 سم أعلي الأسقف الجبسيه لزوم الجدران الداخلية,م²,42.0,758.0,1521.25,2070.54,3591.79,86962.68,473.85092348284957,بنود المطالبات,16,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,74,توريد وتركيب قاطع جداري ثخانة 100مم ذو الواح جبسية مقاومه للحريق  ثخانة 5.12مم تركب من الجهتين )طبقات مزدوجة( يشمل المسامير المعدنية و المزالج / الأعضاء المعدنية الساندة والسكك والغطاء العازل للصوت )صوف صخري( وكل الإكسسوارات حسب المخطط والمواصفات وتعليمات المهندس المشرف.,م²,180.0,12526.0,356.6,837.54,1194.1399999999999,150757.19999999998,9.533290755229123,بنود المطالبات,17,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,230,توريد و تصنيع و تركيب أعمال مجاري  من الصفائح المعدنية المجلفنه )90G( للهواء الداخل والراجع والهواء النقي وقناة السحب حسب المواصفات القياسية SMACNA وتشمل التيهات/القطعة التائية والكوع/المرفق والتفريعات والتحويلة والدعامة وحمالة التعليق. ويجب أخذ الطول على امتداد خط المركز فوق كل قطع التركيبات، ومن المفهوم بأن السعر الإفرادي لأعمال مجاري الهواء/الأقنية محمل عليه كل دعامات حامل التعليق ومخمّد الصوت والحريق وكل قطع الإكسسوار عزل الحراري )فايبرغلاس( ثخانة 25 مم وبكثافة 24 كغ/م3 مع مانع تبخر من الألمنيوم المقوّى حسب المخططات والمواصفات و حسب تعليمات مهندس المشرف.,م.ط,300.0,7000.0,0.0,267.0,267.0,80100.0,3.8142857142857145,بنود المطالبات,18,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,262,توريد وتركيب وتوصيل وإختبار وفحص اجهزة الإنارة ويشمل اللمبات وأقواس التركيب وحبال التعليق وقطع الأكسسوار و ايضا نقاط الانارة متضمنة مواسير/أقنية قاسية عالية التحمل PVC  أوEMT وعلب ذات أسلاك لاتقل عن 0.4 مم2 لنقطة الإنارة وتوصيل أطراف أسلاك التأريض،وكل الأعمال المساعدة كما هو محدد وموضح في المخططات. على المقاول المعاينة و فحص الشبكة الحالية و الاستفادة من التمديدات الحالية و دمجها  علما بان البند يشمل جميع الوصلات و الاسلاك و الكابلات اللازمة لنهو العمل  بعد عمل الاختبارات اللازمة و بعد الموافقة من مهندس المشرف . Type A1,عدد,348.0,530.0,0.0,13.0,13.0,4524.0,2.4528301886792456,بنود المطالبات,19,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,263,توريد وتركيب وتوصيل وإختبار وفحص اجهزة الإنارة ويشمل اللمبات وأقواس التركيب وحبال التعليق وقطع الأكسسوار و ايضا نقاط الانارة متضمنة مواسير/أقنية قاسية عالية التحمل PVC  أوEMT وعلب ذات أسلاك لاتقل عن 0.4 مم2 لنقطة الإنارة وتوصيل أطراف أسلاك التأريض،وكل الأعمال المساعدة كما هو محدد وموضح في المخططات. على المقاول المعاينة و فحص الشبكة الحالية و الاستفادة من التمديدات الحالية و دمجها  علما بان البند يشمل جميع الوصلات و الاسلاك و الكابلات اللازمة لنهو العمل  بعد عمل الاختبارات اللازمة و بعد الموافقة من مهندس المشرف . Type A1E,عدد,660.0,241.0,0.0,6.0,6.0,3960.0,2.4896265560165975,بنود المطالبات,20,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,264,توريد وتركيب وتوصيل وإختبار وفحص اجهزة الإنارة ويشمل اللمبات وأقواس التركيب وحبال التعليق وقطع الأكسسوار و ايضا نقاط الانارة متضمنة مواسير/أقنية قاسية عالية التحمل PVC  أوEMT وعلب ذات أسلاك لاتقل عن 0.4 مم2 لنقطة الإنارة وتوصيل أطراف أسلاك التأريض،وكل الأعمال المساعدة كما هو محدد وموضح في المخططات. على المقاول المعاينة و فحص الشبكة الحالية و الاستفادة من التمديدات الحالية و دمجها  علما بان البند يشمل جميع الوصلات و الاسلاك و الكابلات اللازمة لنهو العمل  بعد عمل الاختبارات اللازمة و بعد الموافقة من مهندس المشرف . Type A2,عدد,1044.0,1113.0,0.0,26.0,26.0,27144.0,2.336028751123091,بنود المطالبات,21,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,275,توريد وتركيب وتوصيل وإختبار وفحص اجهزة الإنارة ويشمل اللمبات وأقواس التركيب وحبال التعليق وقطع الأكسسوار و ايضا نقاط الانارة متضمنة مواسير/أقنية قاسية عالية التحمل PVC  أوEMT وعلب ذات أسلاك لاتقل عن 0.4 مم2 لنقطة الإنارة وتوصيل أطراف أسلاك التأريض،وكل الأعمال المساعدة كما هو محدد وموضح في المخططات. على المقاول المعاينة و فحص الشبكة الحالية و الاستفادة من التمديدات الحالية و دمجها  علما بان البند يشمل جميع الوصلات و الاسلاك و الكابلات اللازمة لنهو العمل  بعد عمل الاختبارات اللازمة و بعد الموافقة من مهندس المشرف .Type C2,عدد,420.0,1422.0,0.0,44.0,44.0,18480.0,3.0942334739803097,بنود المطالبات,22,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,276,توريد وتركيب وتوصيل وإختبار وفحص اجهزة الإنارة ويشمل اللمبات وأقواس التركيب وحبال التعليق وقطع الأكسسوار و ايضا نقاط الانارة متضمنة مواسير/أقنية قاسية عالية التحمل PVC  أوEMT وعلب ذات أسلاك لاتقل عن 0.4 مم2 لنقطة الإنارة وتوصيل أطراف أسلاك التأريض،وكل الأعمال المساعدة كما هو محدد وموضح في المخططات. على المقاول المعاينة و فحص الشبكة الحالية و الاستفادة من التمديدات الحالية و دمجها  علما بان البند يشمل جميع الوصلات و الاسلاك و الكابلات اللازمة لنهو العمل  بعد عمل الاختبارات اللازمة و بعد الموافقة من مهندس المشرف .Type C3,عدد,444.0,1062.0,0.0,8.0,8.0,3552.0,0.7532956685499058,بنود المطالبات,23,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,277,توريد وتركيب وتوصيل وإختبار وفحص اجهزة الإنارة ويشمل اللمبات وأقواس التركيب وحبال التعليق وقطع الأكسسوار و ايضا نقاط الانارة متضمنة مواسير/أقنية قاسية عالية التحمل PVC  أوEMT وعلب ذات أسلاك لاتقل عن 0.4 مم2 لنقطة الإنارة وتوصيل أطراف أسلاك التأريض،وكل الأعمال المساعدة كما هو محدد وموضح في المخططات. على المقاول المعاينة و فحص الشبكة الحالية و الاستفادة من التمديدات الحالية و دمجها  علما بان البند يشمل جميع الوصلات و الاسلاك و الكابلات اللازمة لنهو العمل  بعد عمل الاختبارات اللازمة و بعد الموافقة من مهندس المشرف .Type C4,عدد,300.0,284.0,0.0,2.0,2.0,600.0,0.7042253521126761,بنود المطالبات,24,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,309, كاشف انذار دخان من النوع المعنون طبقا للمخططات  ومواصفات المشروع,عدد,276.0,715.0,0.0,68.0,68.0,18768.0,9.51048951048951,بنود المطالبات,25,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,311, وحدة إنذار حريق يدوية من النوع المعنون طبقا للمخططات  ومواصفات المشروع,عدد,384.0,54.0,0.0,2.0,2.0,768.0,3.7037037037037033,بنود المطالبات,26,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,314,وحدة جرس إنذار حريق داخلى طبقا للمخططات  ومواصفات المشروع,عدد,576.0,24.0,0.0,2.0,2.0,1152.0,8.333333333333332,بنود المطالبات,27,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,315,وحدة هاتف رجل الاطفاء حريق داخلى )fireman telephone Jack ( طبقا للمخططات  ومواصفات المشروع,عدد,960.0,24.0,0.0,2.0,2.0,1920.0,8.333333333333332,بنود المطالبات,28,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,316,وحدات لاسلكية لتوفير خدمة شبكة المعلومات )Wireless Access Points(,عدد,1080.0,181.0,0.0,16.0,16.0,17280.0,8.83977900552486,بنود المطالبات,29,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,317,عن طريق مقاول متخصص ذو خبرة كبيرة في هذا المجال ويقدم للاعتماد من إدارة الـ IT بالوزارة و يربط النظام مع الانظمة المعنية بالتحكم و الموازنة و يشمل البند جميع الوصلات و الكابلات و غيرها من المتطلبات الخاصة بنهو النظام كاملا توريد وتركيب واختبارنقاط كاميرا مراقبة داخلية سقفية و جميع ما يلزم من توصيلات و تركيبات و خلافة  لنهو النظام .,عدد,2640.0,258.0,0.0,27.0,27.0,71280.0,10.465116279069768,بنود المطالبات,30,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,2,324,"توريد وتركيب وإختبار نظام النداء الصوتي العام يتضمن كافة الكابالت و المواسير و العلب و النهايات مع كامل اكسسوارات التركيب الالزمة وتشغيل تجهيزات الصوت و تركيب المعدات الرئيسية بغرفة التحكم حسب المخططات و المواصفات وتعليمات الشركة المصنعة مشتمال على كل ما يلزم التمام العمل
و ربطه مع نظام الحريق و ادارة المبنى و يتكون من االتي -:
سماعة سقفية 6 وات
",عدد,420.0,252.0,0.0,20.0,20.0,8400.0,7.936507936507936,بنود المطالبات,31,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,3,5,صبة أسمنتية كطبقة حماية للعزل في الأماكن الرطبة. ويشمل السعر وأي مواد أو أعمال يتطلبها تنفيذ العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.,م3,366.0,1345.0,77.38999999999999,23.9,101.28999999999999,8747.4,7.53085501858736,بنود المطالبات,32,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,3,6,توريد وبناء مباني من البلوك  مقاوم للحريق شاملا المونة والفواصل وأربطة التثبيت والتسليح الرأسي وعتبات جميع الفتحات وعزل الجدران المزدوجة المفرّغة والمكملات ويتم توريد البلوك بالموقع على قواعد خشبية مغطاه بالبلاستيك ويستمر على هذه الحالة حتى يبدأ استخدامه للبناء على أن يكون ذو ابعاد بطول 40سم وسماكة حسب المطلوب وارتفاع 20سم وان تكون صلد سليم نظيف وذو زوايا خارجية قائمة يستعمل لبناء الحوائط حسب ما هو موضح بالمخططات مع التكحيل ويكون  مطابق للمواصفات حسب النوعيه المطلوبة والسعر يشمل كل مايلزم للبناء من البلوك الكامل والقطع الخاصة سواء 5.0 أو 25.0 ، كذلك القطع الخاصة بتمديد المواسير بحيث لا يتم تكسير البلوك أثناء الاستخدام للبناء على الأطلاق ، بالإضافة إلى كافة المواد والاكسسوارات والسقايل واستعمال الشبك الممدد والتسليح بواسطة خوابير معدنية والمرابط المعدنية ويشمل السعر أي مواد أو أعمال يتطلبها استكمال العمل حسب المواصفات  القسم Ref drawing: 07-MRA-DD-(as per floor number) وتعليمات المهندس المشرف 04200Ar-100,م2,150.0,450.0,1587.56,119.89,1707.45,17983.5,379.43333333333334,بنود المطالبات,33,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,3,36,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf(  ،  مع قشرة ال )wenge( بشكل pattern مفرغة من الداخل مع ايطار خشبي ومثبتة على الجدار الخشبي  لمنطقة التنفيذيين حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: P2,م2,960.0,75.0,0.0,18.9,18.9,18144.0,25.2,بنود المطالبات,34,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,3,46,توريد وتركيب باب زجاجي من نوع سيكوريت بسمك 12مم ويشمل السعر التثبيت والاطار من الالمنيوم الأسود المطلي بدهان بودرة بالفرن والخردوات وماكينة دفاش للإغلاق الذاتي مع ملصقات بحسب التصميم. ويشمل السعر أي مواد أو أعمال يتطلبها استكمال العمل حسب المواصفات والمخططات وتعليمات االمهندس المشرف.Ref drawing: 07-MRA-DD-(as per floor number)-AR-801 بعرض 1000 مم وارتفاع 2700 مم  GD01باب ضلفة واحدة  نموذج,عدد,2580.0,238.0,0.0,11.0,11.0,28380.0,4.621848739495799,بنود المطالبات,35,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
CMH_01-C01,3,47,توريد وتركيب باب زجاجي من نوع سيكوريت بسمك 12مم ويشمل السعر التثبيت والاطار من الالمنيوم الأسود المطلي بدهان بودرة بالفرن والخردوات وماكينة دفاش للإغلاق الذاتي مع ملصقات بحسب التصميم. ويشمل السعر أي مواد أو أعمال يتطلبها استكمال العمل حسب المواصفات والمخططات وتعليمات االمهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-801   بعرض 1800 مم وارتفاع 2600 مم  GD02باب ضلفتين  نموذج ,عدد,4020.0,37.0,0.0,2.0,2.0,8040.0,5.405405405405405,بنود المطالبات,36,CMH_01_SMART.xlsx,sheet بنود المطالبات,high,prev_progress in workbook is informational; platform will recompute server-side from approved claims (Migration 048).
