contract_no,claim_seq,document_type,document_type_ar,expected_filename,folder_hint,mandatory,upload_status,uploaded_at,missing_warning,external_ref,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,11,شهادة إتمام,شهادة إتمام,CMH_01-CLM-011-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-011,سجل المرفقات,47,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,12,شهادة إتمام,شهادة إتمام,CMH_01-CLM-012-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-012,سجل المرفقات,51,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,13,شهادة إتمام,شهادة إتمام,CMH_01-CLM-013-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-013,سجل المرفقات,55,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,14,شهادة إتمام,شهادة إتمام,CMH_01-CLM-014-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-014,سجل المرفقات,59,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,15,شهادة إتمام,شهادة إتمام,CMH_01-CLM-015-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-015,سجل المرفقات,63,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,16,شهادة إتمام,شهادة إتمام,CMH_01-CLM-016-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-016,سجل المرفقات,67,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,17,شهادة إتمام,شهادة إتمام,CMH_01-CLM-017-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-017,سجل المرفقات,71,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,18,شهادة إتمام,شهادة إتمام,CMH_01-CLM-018-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-018,سجل المرفقات,75,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,19,شهادة إتمام,شهادة إتمام,CMH_01-CLM-019-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-019,سجل المرفقات,79,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,20,شهادة إتمام,شهادة إتمام,CMH_01-CLM-020-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-020,سجل المرفقات,83,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,21,شهادة إتمام,شهادة إتمام,CMH_01-CLM-021-CERTIFICATE.pdf,06_CERTIFICATES,اختياري,,,,CMH_01-CLM-021,سجل المرفقات,87,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,91,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,95,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,99,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,103,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,107,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,111,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,115,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,119,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,123,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,127,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,131,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,135,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,139,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
CMH_01-C01,,شهادة إتمام,شهادة إتمام,#REF!,06_CERTIFICATES,اختياري,,,,#REF!,سجل المرفقات,143,CMH_01_SMART.xlsx,sheet سجل المرفقات (header re-detected),medium,expected_filename is from SMART; existence verification + actual file check happens in Phase 5 attachment_existence_report.md.
