contract_no,item_no,description_ar,description,discipline,unit,unit_price,contractual_qty,item_total,progress_model,progress_model_source_ar,item_code,discipline_code,item_kind,source_sheet,source_row,source_file,extraction_method,confidence_level,data_quality_notes
CMH_01-C01,15,توريد وتركيب تيوبات حديد ابعاد 4*4 سم وسماكة 2ملم مع أرفف فوق الكاونتر في منطقة المطبخ. )طلاء بودرة بالفرن لون اسود(مقاس: طول 3100 ملم، ارتفاع 2000 ملم و عرض 600 ملم,,معماري,عدد,84.0,1.0,84.0,percentage,نسبة مئوية,CMH_01-A-015,A,مقاولات,بنود العقد,17,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,16,توريد وتركيب تيوب حدبد مربع مقاس 30ملم* 30ملم سماكة 2 ملم كإيطار للوحات )طلاء بودرة بالفرن لون اسود( مقاس 3050x1250 ممRef drawing: 07-MRA-DD-G.F-AR-607.L,,معماري,عدد,60.0,4.0,240.0,percentage,نسبة مئوية,CMH_01-A-016,A,مقاولات,بنود العقد,18,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,17,توريد وتركيب كشك من هيكل حديدي متكون من تيوبات 10*10-مم وسماكة 6مم مع مع صاج مفرّغ بالليزرعلى شكل مثلثات مدهون بطلاء بني معتق ويشمل إضاءة مخفية حسب التصميم والرسومات  مقاس 5300x3400 مم وارتفاع 3000 مم.Ref drawing: 07-MRA-DD-G.F-AR-902,,معماري,عدد,378.0,1.0,378.0,percentage,نسبة مئوية,CMH_01-A-017,A,مقاولات,بنود العقد,19,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,18,خزانة مفتوحة مصنوعة من تيوبات حديد 20X20 ملم وسماكة 2 ملم )طلاء بودرة بالفرن لون اسود( مع أرفف من خشب ال mdf مع قشرة السنديان حسب التصميم والرسومات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-G.F-AR-607.C عرضx 400mm ارتفاع x 2600mm طول 13350mm,,معماري,عدد,1200.0,1.0,1200.0,percentage,نسبة مئوية,CMH_01-A-018,A,مقاولات,بنود العقد,20,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,19,توريد وتركيب هيكل حديدي تيوبات 20*100 مم وسماكة 2مم مثبت بالسقف والأرض مع شبكة حديد مش )طلاء بودرة بالفرن لون اسود( يشمل هيكل حديدي للمقاعد إضافة الى القماش اللازم ،  حسب الرسومات والمناظير وتعليمات المهندس المشرف.مقاس      Ref drawing: 07-MRA-DD-G.F-AR-607.B: طول 4300 ملم، ارتفاع 2400 ملم و عرض 1800 ملم,,معماري,عدد,6000.0,1.0,6000.0,percentage,نسبة مئوية,CMH_01-A-019,A,مقاولات,بنود العقد,21,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,20,توريد وتركيب هيكل حديدي تيوبات 20*100 مم وسماكة 2مم مثبت بالسقف والأرض مع شبكة حديد مش )طلاء بودرة بالفرن لون اسود( يشمل هيكل حديدي للمقاعد إضافة الى القماش اللازم ،  حسب الرسومات والمناظير وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-G.F-AR-607.Bمقاس: طول 3100 ملم، ارتفاع 2400 ملم و عرض 1800 ملم,,معماري,عدد,5400.0,1.0,5400.0,percentage,نسبة مئوية,CMH_01-A-020,A,مقاولات,بنود العقد,22,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,21,توريد وتركيب شبكة حديد مش )طلاء بودرة بالفرن لون اسود(   مع تيوب حديد 50X50 ملم وسماكة 2 ملم لمنطقة القهوة والسعر يشمل طاولات الحديد في الوسط. مقاس 760X2750 ملم.Ref drawing: 07-MRA-DD-G.F-AR-607.A,,معماري,عدد,5100.0,3.0,15300.0,percentage,نسبة مئوية,CMH_01-A-021,A,مقاولات,بنود العقد,23,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,22,توريد وتركيب وزرات خشب )Mdf( مع قشرة جوز بارتفاع 100مم وسمك 12مم شاملا التثبيت والدهانات والتشطيب والتلميع. ويشمل السعر أي مواد أو أعمال يتطلبها انهاء العمل طبقا للموضح بالمواصفات والمخططات وتعليمات المهندس المشرف .Ref drawing: 07-MRA-DD-(as per floor number)-AR-301,,معماري,م.ط,42.0,4532.0,190344.0,percentage,نسبة مئوية,CMH_01-A-022,A,مقاولات,بنود العقد,24,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,23,توريد وتركيب وزرات خشب )Mdf( مع قشرة ،وينغي بارتفاع 100مم وسمك 12مم شاملا التثبيت والدهانات والتشطيب والتلميع. ويشمل السعر أي مواد أو أعمال يتطلبها انهاء العمل طبقا للموضح بالمواصفات والمخططات وتعليمات المهندس المشرفRef drawing: 07-MRA-DD-(as per floor number)-AR-301,,معماري,م.ط,42.0,700.0,29400.0,percentage,نسبة مئوية,CMH_01-A-023,A,مقاولات,بنود العقد,25,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,24,"تصنيع وتركيب جدار خشبي ) Mdf(  مع قشرة السنديان المطلي بدهان ابيض تثبت على هيكل معدني، مع تصميم  فتحات على شكل مثلثات مضاءة من الداخل واحجام بمستويات مختلفة، حسب المناظير والرسومات وتعليمات المهندس المشرف.Code: WDP1-01,WDP1-02,WDP1-02.A",,معماري,م2,714.0,431.0,307734.0,percentage,نسبة مئوية,CMH_01-A-024,A,مقاولات,بنود العقد,26,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,25,تصنيع وتركيب لوح خشبي بشكل طولي من  الـ )Mdf(  مع قشرة الجوز او ما يتناسب مع العينة المتفق عليها طول 25سم وعرض 10سم وارتفاع 270 سم الى جانب الابواب الزجاجية حسب المناظير والرسومات وتعليمات المهندس المشرف.Code: WDP2-08,,معماري,عدد,240.0,248.0,59520.0,percentage,نسبة مئوية,CMH_01-A-025,A,مقاولات,بنود العقد,27,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,26,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf(  ، مثبتة على العامود الخرساني بدهان رمادي على شكل وهيئة الأسطح الاسمنتية )matt( بتصميم مع غروف حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDP3-04,,معماري,م2,528.0,345.0,182160.0,percentage,نسبة مئوية,CMH_01-A-026,A,مقاولات,بنود العقد,28,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,27,"تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as per floor number)-AR-604كسوة من خشب الـ)Mdf( ، مثبتة على القواطع الجبسية بدهان رمادي بيج  )matt( ، وبتصميم مع غروف حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WPD4-01,WDP4-01.A",,معماري,م2,528.0,331.0,174768.0,percentage,نسبة مئوية,CMH_01-A-027,A,مقاولات,بنود العقد,29,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,28,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf(، مثبتة على القواطع الجبسية مع قشرة صناعية بحسب العينة الموافق عليها وغروف حسب الرسومات والمناظير وتعليمات المهندس المشرفCode: WDP2,,معماري,م2,528.0,2517.0,1328976.0,percentage,نسبة مئوية,CMH_01-A-028,A,مقاولات,بنود العقد,30,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,29,"تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf(  ، مثبتة على االقواطع الجبسية بدهان رمادي على شكل وهيئة الأسطح الاسمنتية ) matt( مع تصميم بفتحات حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDP3-01, WDP3-02, WDP3-03",,معماري,م2,528.0,846.0,446688.0,percentage,نسبة مئوية,CMH_01-A-029,A,مقاولات,بنود العقد,31,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,30,"تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ) Mdf(  ، مع قشرة السنديان المطلي بدهان ابيض  مع غروف وفتحات إضاءة مخفية مغلفة من الداخل بطبقة Acrylic مغشى  حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDP1-03, WDP1-04, WDP1-05, WDP1-06",,معماري,م2,570.0,456.0,259920.0,percentage,نسبة مئوية,CMH_01-A-030,A,مقاولات,بنود العقد,32,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,31,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ) Mdf(  ،  بدهان رمادي   مع غروف وفتحات إضاءة مخفية مغلفة من الداخل بطبقة Acrylic مغشى  حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDP5,,معماري,م2,720.0,53.0,38160.0,percentage,نسبة مئوية,CMH_01-A-031,A,مقاولات,بنود العقد,33,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,32,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ) Mdf(  ، المطلي بدهان رمادي  Code: WDP6,,معماري,م2,468.0,29.0,13572.0,percentage,نسبة مئوية,CMH_01-A-032,A,مقاولات,بنود العقد,34,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,33,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD (as per floor number)-AR-604كسوة من خشب الـ) Mdf(  ، مع قشرة  )walnut( لمدخل كبار الشخصيات ومكتب مدير مكتب معالي الوزير     حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDP7,,معماري,م2,570.0,118.0,67260.0,percentage,نسبة مئوية,CMH_01-A-033,A,مقاولات,بنود العقد,35,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,34,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf( ، مع قشرة صناعية بلون رمادي بيج لمنطقة معالي الوزير   حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDP8,,معماري,م2,870.0,758.0,659460.0,percentage,نسبة مئوية,CMH_01-A-034,A,مقاولات,بنود العقد,36,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,35,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf( ،  مع قشرة ال )wenge( بشكل pattern مفرغة من الداخل مع ايطار خشبي ملبس بجلد لون بيج ومثبتة على الجدار الخشبي  لمنطقة معالي الوزير  حسب الرسومات والمناظير  وتعليمات المهندس المشرف.Code: P1,,معماري,م2,1080.0,60.0,64800.0,percentage,نسبة مئوية,CMH_01-A-035,A,مقاولات,بنود العقد,37,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,36,تصنيع وتركيب كسوة من الخشب للجدران ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف. Ref drawing: 07-MRA-DD-(as per floor number)-AR-600 to 07-MRA-DD-(as  per floor number)-AR-604كسوة من خشب الـ)Mdf(  ،  مع قشرة ال )wenge( بشكل pattern مفرغة من الداخل مع ايطار خشبي ومثبتة على الجدار الخشبي  لمنطقة التنفيذيين حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: P2,,معماري,م2,960.0,75.0,72000.0,percentage,نسبة مئوية,CMH_01-A-036,A,مقاولات,بنود العقد,38,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,37,تصنيع وتركيب كسوة من الخشب للاسقف ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.]Ref drawing: 07-MRA-DD-(as per floor number)-AR-200 سقف من خشب الـ)Mdf( ،  مطلي بدهان أبيض بشكل pattern مفرغة من الداخل  ومثبتة على ألواح خشبية مع قشرة الجوز مثبتة بنظام تعليق متصلة بالسقف الخرساني  لمنطقة معالي الوزير حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDC-04,,معماري,م2,1080.0,162.0,174960.0,percentage,نسبة مئوية,CMH_01-A-037,A,مقاولات,بنود العقد,39,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,38,صنيع وتركيب كسوة من الخشب للاسقف ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-(as per floor number)-AR-200سطح خشبي من من خشب الـ)Mdf(  مع قشرة صناعية بحسب العينة الموافق عليها وغروف مثبتة بنظام تعليق متصلة بالسقف الخرساني حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDC-01 & WDC-02,,معماري,م2,840.0,684.0,574560.0,percentage,نسبة مئوية,CMH_01-A-038,A,مقاولات,بنود العقد,40,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,39,تصنيع وتركيب كسوة من الخشب للاسقف ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-(as per floor number)-AR-200سطح خشبي03-WDC من من خشب الـ)Mdf( على شكل مربعات بسماكة تصميم  5سم، وفتحات على شكل مثلث مع اضاءة مخفية مغلفة من الاعلى بطبقة Acrylic شفاف مغشى سماكة 4مم مثبتة بنظام تعليق متصلة بالسقف الخرساني حسب الرسومات والمناظير وتعليمات المهندس المشرف.Code: WDC-03,,معماري,م2,780.0,64.0,49920.0,percentage,نسبة مئوية,CMH_01-A-039,A,مقاولات,بنود العقد,41,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,40,تصنيع وتركيب خزائن خشبية ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرف.Ref drawing: 07-MRA-DD-(as per floor number)-AR-605خزانة خشبية01-WDC و 02-WDC من خشب الـ ) Mdf ( متداخلة الالوان من قشرة صناعية بحسب  العينة الموافق عليها والدهان الرمادي  على شكل وهيئة الاسطح الاسمنتية مثبتة على القواطع الجبسية مع اضاءة مخفية ومفصلات ومقابض مخفية وتصميم حسب الرسومات والمناظير وتعليمات المهندس المشرف.,,معماري,م2,1440.0,72.0,103680.0,percentage,نسبة مئوية,CMH_01-A-040,A,مقاولات,بنود العقد,42,CMH_01_SMART.xlsx,sheet بنود العقد,high,
CMH_01-C01,41,تصنيع وتركيب خزائن خشبية ويكون النمط والحجم كما هو موضح بالرسومات ويشمل السعر أي مواد أو أعمال يتطلبها إنهاء العمل حسب المواصفات والمخططات وتعليمات المهندس المشرفRef drawing: 07-MRA-DD-(as per floor number)-AR-605خزانة خشبية03-WDC  من خشب الـ ) Mdf (  مع قشرة صناعية بحسب العينة الموافق عليها مثبتة على القواطع الجبسية  مع غروف ومفصلات ومقابض مخفية ،  حسب الرسومات والمناظير,,معماري,م2,1440.0,78.0,112320.0,percentage,نسبة مئوية,CMH_01-A-041,A,مقاولات,بنود العقد,43,CMH_01_SMART.xlsx,sheet بنود العقد,high,
